,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2016-50,2016-01-21,1,Vente,373000.0,40.0,,AV DU MAIL,2430,1000.0,1053,Bourg-en-Bresse,1,,,01053000AH0350,,,,,,,,,,,,,0,2.0,Appartement,45.0,1.0,S,sols,,,217.0,5.21361,46.202411
1,2016-90,2016-01-18,1,Vente,35000.0,5129.0,,LALLEYRIAT,B014,1960.0,1405,Servas,1,,,014050000A0061,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,T,terres,,,13376.0,5.20282,46.153258
2,2016-130,2016-01-28,1,Vente,26140.0,,,COLLONGE,B097,1160.0,1273,Neuville-sur-Ain,1,,,012730000E0453,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,630.0,5.365681,46.06258
3,2016-165,2016-01-14,1,Vente,3000.0,,,SUR LE CHEMIN CHARETON,B028,1250.0,1095,Nivigne et Suran,1,1095.0,Chavannes-sur-Suran,010950000D0158,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,100.0,5.440573,46.278749
4,2016-201,2016-01-25,1,Vente,92000.0,11.0,,BD DE L HIPPODROME,1890,1000.0,1053,Bourg-en-Bresse,1,,,01053000AV0205,,,3.0,,35,67.7,,,,,,,2,2.0,Appartement,67.0,2.0,,,,,,5.235892,46.190844
5,2016-242,2016-01-29,1,Vente,148000.0,,,LE DECHAMP,B033,1380.0,1343,Saint-Cyr-sur-Menthon,1,,,01343000ZS0348,,,,,,,,,,,,,0,,,,,S,sols,,,229.0,4.96156,46.269921
6,2016-283,2016-01-29,1,Vente,1000.0,,,LE DERONTAY,B179,1250.0,1245,Bohas-Meyriat-Rignat,1,,,012450480C0441,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,1414.0,5.378265,46.159688
7,2016-335,2016-02-11,1,Vente,2000.0,,,CHAINTRU,B020,1190.0,1016,Arbigny,1,,,01016000ZH0156,,,,,,,,,,,,,0,,,,,P,prés,,,8090.0,4.972915,46.480486
8,2016-360,2016-02-26,1,Vente,153000.0,,,LE VILLARET,B219,1560.0,1139,Curciat-Dongalon,1,,,011390000E0403,,,,,,,,,,,,,0,,,,,P,prés,,,2118.0,5.168751,46.487097
9,2016-404,2016-02-17,1,Vente,27000.0,,,VACON,B105,1370.0,1038,Bény,1,,,01038000ZE0026,,,,,,,,,,,,,0,,,,,T,terres,,,61522.0,5.271949,46.307002
10,2016-451,2016-03-02,5,Vente,3346.5,,,EN BREILLE,B019,1190.0,1057,Boz,1,,,010570000B0815,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1365.0,4.934022,46.395326
11,2016-485,2016-03-04,1,Vente,245400.0,,,AUX FONTANAYS,B114,1340.0,1346,Saint-Didier-d'Aussiat,1,,,01346000AP0093,,,,,,,,,,,,,0,,,,,T,terres,,,11950.0,5.083944,46.30278
12,2016-522,2016-02-25,1,Vente,216000.0,,,AUX COURBEES,B075,1380.0,1025,Bâgé-Dommartin,1,1025.0,Bâgé-la-Ville,010250000E1095,,,,,,,,,,,,,0,,,,,T,terres,,,6.0,4.938479,46.335729
13,2016-537,2016-03-03,1,Vente,625000.0,9.0,B,RUE DE LA CITADELLE,910,1000.0,1053,Bourg-en-Bresse,1,,,01053000AE0012,,,,,,,,,,,,,0,2.0,Appartement,24.0,1.0,S,sols,,,823.0,5.213826,46.204204
14,2016-575,2016-03-11,1,Vente,,,,A LA MARTINETTE,B005,1380.0,1026,Bâgé-le-Châtel,1,,,010260000A0687,,,,,,,,,,,,,0,,,,,S,sols,,,2668.0,4.933471,46.304853
15,2016-617,2016-03-22,2,Vente,148.0,,,AU BOIS,B016,1190.0,1094,Chavannes-sur-Reyssouze,1,,,010940000C1526,,,,,,,,,,,,,0,,,,,T,terres,,,987.0,5.023333,46.439558
16,2016-666,2016-03-31,2,Vente,19735.58,,,CHAMP DES GILLETS,B059,1440.0,1451,Viriat,1,,,01451000ZS0098,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,172.0,5.242163,46.272298
17,2016-706,2016-03-31,1,Vente,14100.0,,,AUX MARES,B034,1290.0,1365,Saint-Jean-sur-Veyle,1,,,013650000C0222,,,,,,,,,,,,,0,,,,,T,terres,,,1730.0,4.928874,46.263281
18,2016-735,2016-04-05,1,Vente,100000.0,133.0,,RUE EDOUARD MANET,1336,1000.0,1053,Bourg-en-Bresse,1,,,01053000CI0091,,,7.0,69.77,,,,,,,,,1,2.0,Appartement,69.0,3.0,,,,,,5.255494,46.200732
19,2016-781,2016-03-31,1,Vente,87500.0,,,LES CRETS DELIAT,B093,1440.0,1451,Viriat,1,,,01451000AK0280,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,332.0,5.209133,46.250738
20,2016-825,2016-04-04,1,Vente,114800.0,3.0,,PL DE LA COMMUNE,953,1000.0,1053,Bourg-en-Bresse,1,,,01053000AZ0445,,,3307.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.228907,46.200364
21,2016-851,2016-04-14,2,Echange,100.0,,,CHAMANDRE,B071,1340.0,1163,Foissiat,1,,,01163000WC0071,,,,,,,,,,,,,0,,,,,P,prés,,,232.0,5.202552,46.407587
22,2016-898,2016-04-14,1,Vente,130000.0,110.0,,RTE DE LA BOUTIQUE,95,1380.0,1025,Bâgé-Dommartin,1,1025.0,Bâgé-la-Ville,010250000F1532,,,,,,,,,,,,,0,1.0,Maison,130.0,6.0,P,prés,,,1675.0,4.973073,46.312521
23,2016-942,2016-05-06,1,Vente,90.0,,,BOIS DES COMMUNES,B041,1851.0,1232,Marboz,1,,,01232000WA0108,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,295.0,5.237169,46.397096
24,2016-985,2016-04-28,1,Vente,4779.0,,,BOIS DE BECHANNOZ,B014,1370.0,1350,Saint-Étienne-du-Bois,1,,,013500000D0339,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,3050.0,5.280671,46.249214
25,2016-1031,2016-04-28,1,Vente,24000.0,3.0,,RUE SAINT EXUPERY,260,1160.0,1304,Pont-d'Ain,1,,,01304000AM0035,,,3.0,,,,,,,,,,1,2.0,Appartement,79.0,4.0,,,,,,5.335918,46.049416
26,2016-1063,2016-05-04,1,Vente en l'état futur d'achèvement,5064000.0,10.0,,RUE LOUIS BLERIOT,2330,1000.0,1053,Bourg-en-Bresse,1,,,01053000BM0427,,,,,,,,,,,,,0,2.0,Appartement,47.0,2.0,S,sols,,,2062.0,5.233279,46.211801
27,2016-1091,2016-05-27,1,Vente,40000.0,9.0,,RUE TEYNIERE,3580,1000.0,1053,Bourg-en-Bresse,1,,,01053000AN0195,,,19.0,21.21,,,,,,,,,1,2.0,Appartement,23.0,2.0,,,,,,5.224222,46.20344
