,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
24,2017-1026,2017-04-26,1,Vente,169000.0,6137.0,,RUE DE LA CATHERINETTE,45,1160.0,1304,Pont-d'Ain,1,,,01304000ZC0337,,,,,,,,,,,,,0,1.0,Maison,92.0,4.0,S,sols,,,855.0,5.33813,46.057467
25,2017-1069,2017-03-27,1,Vente,246600.0,,,VARAMBON,B058,1160.0,1430,Varambon,1,,,014300000C1231,,,,,,,,,,,,,0,,,,,J,jardins,,,985.0,5.315607,46.03842
26,2017-1086,2017-04-19,2,Vente,219000.0,,,LYONNIERE,B074,1370.0,1350,Saint-Étienne-du-Bois,1,,,013500000C1360,,,,,,,,,,,,,0,,,,,P,prés,,,1191.0,5.305325,46.268946
27,2017-1121,2017-04-27,1,Vente,,10.0,,RUE LOUIS BLERIOT,2330,1000.0,1053,Bourg-en-Bresse,1,,,01053000BM0427,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,2062.0,5.233279,46.211801
28,2017-1137,2017-04-21,1,Vente,180000.0,5223.0,,RUE DU DOC ROLLIN,65,1250.0,1072,Ceyzériat,1,,,01072000AI0382,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,AG,terrains d'agrément,,,995.0,5.327851,46.181871
29,2017-1160,2017-04-21,1,Vente,60000.0,,,LA PLANTEE,B074,1160.0,1304,Pont-d'Ain,1,,,01304000ZC0395,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,610.0,5.337033,46.057857
30,2017-1199,2017-04-27,1,Vente,1622843.8,7.0,,RUE BIZET,490,1000.0,1053,Bourg-en-Bresse,1,,,01053000AL0046,,,,,,,,,,,,,0,2.0,Appartement,75.0,3.0,S,sols,,,890.0,5.221446,46.194648
31,2017-1217,2017-04-28,1,Vente,171220.0,358.0,,AV DE TREVOUX,476,1000.0,1344,Saint-Denis-lès-Bourg,1,,,01344000AH0625,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,107.0,5.202723,46.201499
32,2017-1263,2017-05-04,1,Vente,266500.0,,,FENIOUX,B066,1310.0,1115,Confrançon,1,,,01115000AA0289,,,,,,,,,,,,,0,,,,,S,sols,,,146.0,5.057225,46.257274
33,2017-1292,2017-05-02,1,Vente,40000.0,,,AUX TAVERNIERES,B137,1250.0,1095,Nivigne et Suran,1,,,01095000ZC0151,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,166.0,5.423266,46.283605
34,2017-1342,2017-05-22,1,Vente,114980.0,41.0,,BD DE BROU,620,1000.0,1053,Bourg-en-Bresse,1,,,01053000BC0456,,,403,,428.0,,,,,,,,2,2.0,Appartement,73.0,3.0,,,,,,5.23093,46.203716
35,2017-1368,2017-06-09,1,Vente,64000.0,9.0,,BD JULES FERRY,2120,1000.0,1053,Bourg-en-Bresse,1,,,01053000AM0167,,,,,,,,,,,,,0,2.0,Appartement,41.0,1.0,S,sols,,,249.0,5.217415,46.196749
36,2017-1402,2017-05-17,1,Vente,74000.0,5094.0,,THOL,B299,1160.0,1273,Neuville-sur-Ain,1,,,012730000E0761,,,,,,,,,,,,,0,1.0,Maison,90.0,4.0,S,sols,,,192.0,5.369142,46.068384
37,2017-1436,2017-06-12,1,Vente,122300.0,,,CHE DES PRES,66,1290.0,1306,Pont-de-Veyle,1,,,013060000A1551,,,1,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,4.888208,46.260198
38,2017-1487,2017-06-12,1,Vente,97624.0,1.0,,RUE GUICHARD,1800,1000.0,1053,Bourg-en-Bresse,1,,,01053000AD0239,,,10,,,,,,,,,,1,2.0,Appartement,55.0,2.0,,,,,,5.22656,46.205304
39,2017-1524,2017-06-09,1,Vente,351500.0,,,LES PIES,B106,1250.0,1195,Jasseron,1,,,01195000AE0237,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,662.0,5.325098,46.210078
40,2017-1571,2017-06-21,1,Vente,12850.0,,,AU MOLLARD,B299,1340.0,1163,Foissiat,1,,,01163000WB0140,,,,,,,,,,,,,0,,,,,P,prés,,,13761.0,5.177503,46.381313
41,2017-1616,2017-06-23,1,Vente,143000.0,6.0,,RUE GABRIEL VICAIRE,80,1160.0,1304,Pont-d'Ain,1,,,01304000AL0046,,,,,,,,,,,,,0,1.0,Maison,84.0,4.0,S,sols,,,1742.0,5.336811,46.044914
